artist,date,dj,genre,show,timestamp,title
Brainiac,"Oct 31, 2024",Masen,Unknown,Outshined,1:25 PM,70 K9 MAN
Oingo Boingo,"Oct 31, 2024",Masen,Pop,Outshined,1:28 PM,Weird Science
Christian Death,"Oct 31, 2024",Masen,Rock,Outshined,1:36 PM,Romeo's Distress
The Cure,"Oct 31, 2024",Masen,Rock,Outshined,1:43 PM,One Hundred Years
Unwound,"Oct 31, 2024",Masen,Unknown,Outshined,1:44 PM,Demons Sing Love Songs
Bauhaus,"Oct 31, 2024",Masen,Unknown,Outshined,1:47 PM,Bela Lugosi’s Dead
Lush,"Oct 31, 2024",Masen,Unknown,Outshined,1:48 PM,Untogether
Siouxsie and the Banshees,"Oct 31, 2024",Masen,Indie Pop,Outshined,1:52 PM,Halloween
Panel Donor,"Nov 14, 2024",Masen,Rock,Outshined,1:00 PM,The Ballad of Ya-Ya
Unwound,"Nov 14, 2024",Masen,Unknown,Outshined,1:02 PM,NO TECH!
Polvo,"Nov 14, 2024",Masen,Unknown,Outshined,1:04 PM,High-Wire Moves
Starflyer 59,"Nov 14, 2024",Masen,Unknown,Outshined,1:08 PM,Droned
Majesty Crush,"Nov 14, 2024",Masen,Rock,Outshined,1:13 PM,Boyfriend
Brainiac,"Nov 14, 2024",Masen,Unknown,Outshined,1:17 PM,Hot Metal Doberman's
The Afghan Whigs,"Nov 14, 2024",Masen,Unknown,Outshined,1:20 PM,Debonair
Love Battery,"Nov 14, 2024",Masen,Unknown,Outshined,1:24 PM,Out Of Focus
Catherine Wheel,"Nov 14, 2024",Masen,Rock,Outshined,1:29 PM,Ursa Major Space Station
Rocketship,"Nov 14, 2024",Masen,Unknown,Outshined,1:34 PM,Kisses Are Always Promises
Hum,"Nov 14, 2024",Masen,Rock,Outshined,1:38 PM,Sundress
Dis-,"Nov 14, 2024",Masen,Rock,Outshined,1:42 PM,Werewolves
Stereolab,"Nov 14, 2024",Masen,Unknown,Outshined,1:44 PM,The Flower Called Nowhere
Pavement,"Nov 14, 2024",Masen,Unknown,Outshined,1:49 PM,Type Slowly
P.E.E.,"Nov 21, 2024",Masen,Pop,Outshined,1:00 PM,Bruce Loves Big Star
Built To Spill,"Nov 21, 2024",Masen,Pop,Outshined,1:01 PM,I Would Hurt A Fly
Panel Donor,"Nov 21, 2024",Masen,Unknown,Outshined,1:07 PM,Sweetheart
Polvo,"Nov 21, 2024",Masen,Unknown,Outshined,1:12 PM,Fractured (Like Chandeliers)
North of America,"Nov 21, 2024",Masen,Rock,Outshined,1:17 PM,Speech Is An Experiment
Seam,"Nov 21, 2024",Masen,Unknown,Outshined,1:20 PM,Broken Bones
Drop Nineteens,"Nov 14, 2024",Masen,Unknown,Outshined,1:55 PM,Delaware
Unrest,"Nov 21, 2024",Masen,Unknown,Outshined,1:24 PM,Suki
